City,Country,Date,Cloudiness (%),Humidity (%),Latitude (Deg),Longitude (Deg),Max Temperature (F),Wind Speed (mph),Converted Date
mataura,NZ,1581994162,99,80,-46.19,168.86,66.0,5.01,2020-02-18
port macquarie,AU,1581993990,40,70,-31.43,152.92,89.01,8.05,2020-02-18
yellowknife,CA,1581994163,5,74,62.46,-114.35,-22.0,5.82,2020-02-18
port hardy,CA,1581994163,20,100,50.7,-127.42,35.6,4.7,2020-02-18
akureyri,IS,1581994164,90,97,65.68,-18.09,32.0,9.17,2020-02-18
flinders,AU,1581994164,40,62,-34.58,150.86,97.0,12.75,2020-02-18
hilo,US,1581994164,90,61,19.73,-155.09,78.8,12.75,2020-02-18
saint-philippe,RE,1581994165,75,83,-21.36,55.77,77.0,16.11,2020-02-18
lata,PT,1581994165,0,87,40.16,-8.33,52.0,4.7,2020-02-18
maceio,BR,1581993877,20,83,-9.67,-35.74,78.8,6.93,2020-02-18
butaritari,KI,1581994166,9,81,3.07,172.79,83.8,11.77,2020-02-18
ushuaia,AR,1581994166,75,66,-54.8,-68.3,48.2,14.99,2020-02-18
mazagao,BR,1581994167,40,94,-0.12,-51.29,80.6,8.05,2020-02-18
kodiak,US,1581994167,75,86,57.79,-152.41,39.2,11.41,2020-02-18
tuatapere,NZ,1581994167,100,80,-46.13,167.68,66.0,5.01,2020-02-18
lorengau,PG,1581994168,95,80,-2.02,147.27,83.46,14.45,2020-02-18
hithadhoo,MV,1581994168,58,71,-0.6,73.08,83.86,7.54,2020-02-18
thompson,CA,1581994168,5,69,55.74,-97.86,-11.2,9.17,2020-02-18
seoul,KR,1581994169,1,38,37.57,126.98,28.4,1.12,2020-02-18
ribeira grande,PT,1581994169,69,73,38.52,-28.7,52.45,7.67,2020-02-18
tura,IN,1581994169,0,51,25.52,90.22,73.76,2.89,2020-02-18
melfi,IT,1581994170,75,86,41.0,15.65,37.4,24.16,2020-02-18
pascagoula,US,1581994170,90,100,30.37,-88.56,64.4,10.29,2020-02-18
rikitea,PF,1581994171,100,77,-23.12,-134.97,79.43,13.87,2020-02-18
vaini,TO,1581994171,20,65,-21.2,-175.2,82.4,14.99,2020-02-18
punta arenas,CL,1581994171,100,57,-53.15,-70.92,51.8,18.34,2020-02-18
bredasdorp,ZA,1581994172,5,87,-34.53,20.04,64.0,3.36,2020-02-18
hobart,AU,1581994051,75,45,-42.88,147.33,71.01,12.75,2020-02-18
severo-kurilsk,RU,1581994174,100,74,50.68,156.12,17.91,5.1,2020-02-18
palmer,US,1581994151,40,68,42.16,-72.33,30.99,2.53,2020-02-18
los chiles,CR,1581994174,0,89,11.03,-84.72,74.03,4.34,2020-02-18
usvyaty,RU,1581994175,96,87,55.75,30.75,36.88,8.72,2020-02-18
pangnirtung,CA,1581994175,100,99,66.15,-65.71,-26.14,2.1,2020-02-18
